class,0,1,2
GALAXY,0.43224829674489024,0.27872823618470854,0.2890234670704012
QSO,0.5959601286851959,0.043985021887031274,0.36005484942777277
STAR,0.27544688339353524,0.40386218393998335,0.3206909326664814
