class,0,1,2,3
GALAXY,0.1759946168727395,0.26453023803515857,0.43438472537639833,0.1250904197157036
QSO,0.29391909709403513,0.028268551236749116,0.05115763936501239,0.6266547123042033
STAR,0.2914235435769195,0.3634342873020283,0.16004445679355375,0.1850977123274984
